Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
6/23/2021,,Breakfast,"Blueberries, Fresh","1.00 cup, whole pieces",84.36,0,0,124.63,0.05,0.06,0.62,0.18,0.08,0,47.36,8.88,118.4,79.92,14.36,0,0.86,28.56,8.88,0.08,0.41,8.88,0.5,17.76,113.96,0.15,1.48,0.24,21.45,3.55,0.04,14.74,17.89,0.49,0,0.07,0.22,0.04,0,0.09,0.13,0.01,0.02,0.03,0.07,0.02,0.02,0.04,1.1,0.03,0,0.01,0.05,Fruits and Fruit Juices
6/23/2021,,Breakfast,"Strawberries, Fresh","0.70 cup, halves",34.05,0,0,96.77,0.03,0.02,0.41,0.13,0.05,0,7.45,25.54,27.66,12.77,62.56,0,0.3,2.34,17.02,0.05,0.44,13.83,0.41,25.54,162.79,0.43,1.06,0.15,8.17,2.13,0.04,5.2,6.04,0.32,0,0.05,0.16,0.02,0,0.07,0.1,0.01,0.01,0.02,0.04,0.03,0,0.02,0.71,0.02,0.01,0.02,0.02,Fruits and Fruit Juices
6/23/2021,,Lunch,"Sushi At Home, Ahi Tuna Poke",4.00 oz,133.41,,,,,,,,,,,,,,,0,,,34.69,,0.48,,,,209.01,,609.24,,3.11,0,,2.67,3.11,1.33,44.47,,,0.44,0,,,,,,,,,,26.68,,,,,Finfish and Shellfish Products
6/23/2021,,Lunch,"Spinach, Raw","2.50 cup, cut pieces",17.25,0,0,68.55,0.06,0.14,0.54,0.05,0.15,0,4219.66,145.51,9148.84,7033.01,21.08,0,1.47,362.19,74.25,0.1,2.03,59.25,0.67,36.75,418.52,0.75,59.25,0.4,2.72,1.65,0.08,0.32,1.07,0.29,0,0.01,0.12,0.05,0,0.1,0,0.03,0.05,0.11,0.17,0.13,0.04,0.1,2.15,0.09,0.03,0.08,0.12,Vegetables and Vegetable Products
6/23/2021,,Lunch,"Tortilla Chips, Yellow, Plain, Salted",1.20 oz,169.08,,,0.66,0.04,0.01,0.51,0.14,0.07,,13.27,7.48,407.56,53.75,,,1.01,0.2,35.38,0.04,0.45,28.58,0.12,79.61,70.08,2.86,105.46,0.5,22.92,1.6,20.6,0.41,21.32,7.6,,2.92,3.12,0.94,0.02,0.11,2.99,,,,,,,,2.25,,,,,Snacks
6/23/2021,,Lunch,Guacamole,6.00 tbsp,82.84,0,0,72.2,0.05,0.08,1,0.64,0.18,0,169.71,44.09,200.35,321.92,27.1,0,0.97,11.81,13.9,0.11,0.47,18.39,0.15,35.88,310.19,0.31,359.77,0.37,6.97,3.45,0.12,1.62,3.52,6.37,0,4.01,0.77,0.88,0,0.05,0.69,0.02,0.03,0.05,0.08,0.07,0.02,0.05,1.37,0.05,0.02,0.03,0.06,Vegetables and Vegetable Products
6/23/2021,,Dinner,"Couscous, Cooked",0.75 cup,132.82,0,0,85.36,0.06,0.03,1.23,0.44,0.04,0,0.71,7.06,30.02,1.06,0,0,0.05,0.35,11.11,0.1,0.38,16.37,0.28,60.05,58.69,3.89,271.52,0.3,27.35,1.77,24.48,0.74,25.58,0.23,0,0.03,0.09,0.04,0,0,0.08,0.13,0.09,0.17,0.31,0.09,0.07,0.22,4.51,0.12,0.06,0.12,0.19,Cereal Grains and Pasta
6/23/2021,,Dinner,Acorn Squash,2.00 cup,150.56,0,0,222.88,0.45,0.03,2.37,1.36,0.52,0,690.96,51.08,118.3,1150.7,29.04,0,0.32,11.83,118.3,0.23,2.5,115.61,0.65,120.98,1174.9,1.88,10.75,0.46,39.2,11.83,23.07,3.44,27.37,0.38,0,0.03,0.16,0.08,0,0.1,0.06,0.03,0.06,0.12,0.17,0.11,0.04,0.12,3.01,0.09,0.04,0.1,0.13,Vegetables and Vegetable Products
6/23/2021,,Dinner,"Lettuce, Boston, Bibb or Butterhead","1.00 cup, chopped",7.15,0,0,52.6,0.03,0.03,0.2,0.08,0.05,0,1092.99,40.16,672.73,1821.83,2.04,0,0.13,56.11,19.25,0.01,0.68,7.15,0.1,18.15,130.92,0.33,2.75,0.11,1.23,0.61,0,0.52,0.62,0.12,0,0,0.06,0.02,0,0.05,0,0,0.01,0.02,0.04,0.03,0.01,0.03,0.74,0.02,0.01,0.01,0.03,Vegetables and Vegetable Products
6/23/2021,,Dinner,"Chicken Breast, Skin Removed Before Cooking",2.00 oz,98.09,0,0,36.72,0.04,0.07,7.04,0.55,0.34,0.19,0,2.27,0,16.44,0,2.83,0.15,0.17,8.5,0.03,0.6,15.31,0.01,122.47,140.05,13.83,43.66,0.7,0,0,0,0,0,2.56,48.19,0.87,0.56,0.72,0.05,0.06,0.46,0.22,0.54,0.93,1.31,1.49,0.48,0.7,17.53,0.74,0.2,0.59,0.87,Poultry Products
6/23/2021,,Dinner,"Lindt Excellence, 85% cocoa",0.33 x 3.0 pieces,56.1,,,,,,,,,,,,,,,0,,,8.25,,0.99,,,,36.96,,3.3,,3.63,1.32,,1.32,2.31,4.62,0,,,2.64,0,,,,,,,,,,1.32,,,,,Sweets
6/23/2021,,Snack,"Matcha Love, Matcha Green Tea Powder Mix, Sweetened",0.80 tbsp,48,,,,,,,,,,,,,,,,,,,,,,,,,,0,,11.2,0.45,,10.4,10.75,0,0,,,0,0,,,,,,,,,,0.8,,,,,Supplements
6/23/2021,,Snack,Green Tea,5.00 cup,11.84,0,142.08,1183.19,0.08,0.69,0.36,0.13,0.06,0,0,0,0,0,3.55,0,0,0,0,0.05,0.24,11.84,2.18,0,94.72,0,11.84,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,Beverages
6/23/2021,,Snack,"Orgain, Organic Superfoods, Berry",0.30 Scoop ,12,,,,,,,,,,,,,120,1.44,,,,18,,0.11,,,,24,,1.5,,3.3,1.8,,0.15,1.5,0.15,0,,,0.15,0,,,,,,,,,,0.3,,,,,Supplements
6/23/2021,,Snack,"Tomato Raw, Includes Cherry, Grape, Roma",10.00 cherry,30.6,0,0,160.68,0.06,0.03,1.01,0.15,0.14,0,763.3,25.5,209.1,1416.1,23.29,0,0.92,13.43,17,0.1,0.46,18.7,0.19,40.8,402.9,0,8.5,0.29,6.61,2.04,0,4.47,4.57,0.34,0,0.05,0.14,0.05,0,0.01,0,0.02,0.02,0.03,0.04,0.05,0.01,0.05,1.5,0.05,0.01,0.02,0.03,Vegetables and Vegetable Products
6/23/2021,,Snack,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",0.80 cup,59.17,0,0,180.72,0.05,0.41,0.14,0.06,0.08,2.4,1.72,19.64,0,400,0.59,96.03,0.12,6.61,240,0.14,0.87,32,0.28,84.28,240,4.48,67.96,0.48,2.88,2.06,0,0.81,0.81,3.09,0,0.68,1.74,0.45,0,0.21,1.51,0.09,0.15,0.28,0.47,0.38,0.08,0.3,6.26,0.25,0.08,0.22,0.29,Beverages
6/24/2021,,Breakfast,"Coffee, Prepared From Grounds",40.00 fl oz,11.84,0,473.61,1176.8,0.17,0.9,2.26,3.01,0.01,0,0,23.68,0,0,0,0,0.12,1.18,23.68,0.02,0.12,35.52,0.27,35.52,580.17,0,23.68,0.24,5.56,5.56,0,0,0,0.24,0,0.18,0.01,0.02,0,0,0,0.02,0.02,0.02,0.06,0.01,0,0.04,1.42,0.01,0,0.02,0.04,Beverages
6/24/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
6/24/2021,,Breakfast,"Ka'Chava, The Whole Body Meal, Chocolate",0.50 x 2.0 Scoops,120,,,,0.38,0.43,5,2.5,0.5,1.5,,100,,1250,15,100,5.03,,387.5,0.6,3.6,120,0.45,160,250,17.5,262.5,3.9,12.5,4.5,,3.5,8,3.5,0,,,2.2,0,,,,,,,,,,12.5,,,,,"Meals, Entrees, and Sidedishes"
6/24/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",2.20 cup,162.71,0,0,496.97,0.14,1.12,0.38,0.17,0.22,6.6,4.73,54,0,1099.99,1.61,264.09,0.33,18.17,659.99,0.38,2.38,88,0.78,231.77,659.99,12.32,186.89,1.32,7.91,5.68,0,2.23,2.23,8.48,0,1.88,4.79,1.23,0,0.57,4.16,0.25,0.42,0.76,1.28,1.05,0.21,0.82,17.22,0.68,0.23,0.59,0.79,Beverages
6/24/2021,,Breakfast,"Blueberries, Fresh","1.00 cup, whole pieces",84.36,0,0,124.63,0.05,0.06,0.62,0.18,0.08,0,47.36,8.88,118.4,79.92,14.36,0,0.86,28.56,8.88,0.08,0.41,8.88,0.5,17.76,113.96,0.15,1.48,0.24,21.45,3.55,0.04,14.74,17.89,0.49,0,0.07,0.22,0.04,0,0.09,0.13,0.01,0.02,0.03,0.07,0.02,0.02,0.04,1.1,0.03,0,0.01,0.05,Fruits and Fruit Juices
6/24/2021,,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
6/24/2021,,Lunch,"White Rice, Steamed",1.25 cup,256.76,0,0,135.17,0.32,0.03,2.92,0.77,0.18,0,0,84.53,0,0,0,0,0.08,0,19.75,0.14,2.37,23.7,0.93,84.93,69.13,14.81,1.98,0.97,55.64,0.67,45.43,0.06,54.97,0.55,0,0.17,0.15,0.15,0,0.03,0.12,0.11,0.12,0.23,0.44,0.19,0.12,0.28,5.31,0.19,0.06,0.18,0.32,Cereal Grains and Pasta
6/24/2021,,Lunch,"Chicken Breast, Skin Removed Before Cooking",2.00 oz,98.09,0,0,36.72,0.04,0.07,7.04,0.55,0.34,0.19,0,2.27,0,16.44,0,2.83,0.15,0.17,8.5,0.03,0.6,15.31,0.01,122.47,140.05,13.83,43.66,0.7,0,0,0,0,0,2.56,48.19,0.87,0.56,0.72,0.05,0.06,0.46,0.22,0.54,0.93,1.31,1.49,0.48,0.7,17.53,0.74,0.2,0.59,0.87,Poultry Products
6/24/2021,,Lunch,"Sushi At Home, Ahi Tuna Poke",2.00 oz,66.7,,,,,,,,,,,,,,,0,,,17.34,,0.24,,,,104.5,,304.62,,1.56,0,,1.33,1.56,0.67,22.23,,,0.22,0,,,,,,,,,,13.34,,,,,Finfish and Shellfish Products
6/24/2021,,Lunch,"Red Bell Peppers, Raw","0.40 cup, chopped",15.5,0,0,54.96,0.03,0.05,0.58,0.19,0.17,0,967.87,27.42,30.39,1866.01,76.11,0,0.94,2.92,4.17,0.01,0.26,7.15,0.07,15.5,125.75,0.06,2.38,0.15,3.59,1.25,0,2.5,2.34,0.18,0,0,0.09,0.04,0,0.03,0,0.01,0.01,0.01,0.02,0.02,0,0.03,0.59,0.02,0.01,0.01,0.02,Vegetables and Vegetable Products
6/24/2021,,Lunch,"Lindt Excellence, 85% cocoa",0.33 x 3.0 pieces,56.1,,,,,,,,,,,,,,,0,,,8.25,,0.99,,,,36.96,,3.3,,3.63,1.32,,1.32,2.31,4.62,0,,,2.64,0,,,,,,,,,,1.32,,,,,Sweets
6/24/2021,,Dinner,"Taylor Farms, Sweet Kale Chopped Salad, Vegetable Salad Kit",3.00 Cup salad with 2 tbsp dressing,510,,,,,,,,,,,,,5250,162,,,,120,,3.24,,,,,,450,,57,9,,39,48,27,15,,,4.5,0,,,,,,,,,,9,,,,,"Meals, Entrees, and Sidedishes"
6/24/2021,,Dinner,"Naan, Indian Tandoori Flatbread","0.70 each - 10"" diameter",385.45,0,0,54.93,0.72,0.48,5.78,0.67,0.06,0.2,25.69,173.22,54.73,405.98,0.24,2.43,0.64,1.31,70.69,0.14,3.11,23.9,0.56,122.84,156.88,28.77,413.86,0.98,52.95,2,48.54,2.39,50.94,14.4,36.89,3.58,0.98,8.53,0.5,0.09,0.79,0.21,0.23,0.43,0.79,0.36,0.2,0.53,10.55,0.32,0.11,0.33,0.52,Baked Products
6/24/2021,,Snack,Tap Water,80.00 fl oz,0,0,0,2367.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,0.24,0,23.7,0,0,0,0,94.8,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverages
6/25/2021,,Study Meal,Hass Avocado,0.80 each,181.7,0,0,78.7,0.08,0.16,2.08,1.59,0.31,0,68.54,96.83,294.85,159.94,9.57,0,2.1,22.85,14.14,0.18,0.66,31.55,0.16,58.75,551.62,0.44,8.7,0.74,9.4,7.4,0.12,0.33,2,16.77,0,10.66,1.98,2.31,0,0.12,1.84,0.03,0.05,0.09,0.15,0.14,0.04,0.1,2.13,0.08,0.03,0.05,0.11,Fruits and Fruit Juices
6/25/2021,,Breakfast,"Coffee, Prepared From Grounds",30.00 fl oz,8.88,0,355.21,882.6,0.12,0.67,1.7,2.26,0.01,0,0,17.76,0,0,0,0,0.09,0.89,17.76,0.02,0.09,26.64,0.2,26.64,435.13,0,17.76,0.18,4.17,4.17,0,0,0,0.18,0,0.13,0.01,0.02,0,0,0,0.02,0.02,0.02,0.04,0.01,0,0.03,1.07,0.01,0,0.02,0.03,Beverages
6/25/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.75 cup,129.43,0,0,395.32,0.11,0.89,0.3,0.14,0.17,5.25,3.76,42.95,0,874.99,1.28,210.07,0.26,14.45,525,0.31,1.89,70,0.62,184.36,525,9.8,148.67,1.05,6.29,4.52,0,1.78,1.77,6.75,0,1.49,3.81,0.98,0,0.45,3.31,0.2,0.34,0.61,1.02,0.83,0.17,0.65,13.7,0.54,0.18,0.47,0.63,Beverages
6/25/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
6/25/2021,,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
6/25/2021,,Lunch,"Coffee, Prepared From Grounds",12.00 fl oz,3.55,0,142.08,353.04,0.05,0.27,0.68,0.9,0,0,0,7.1,0,0,0,0,0.04,0.36,7.1,0.01,0.04,10.66,0.08,10.66,174.05,0,7.1,0.07,1.67,1.67,0,0,0,0.07,0,0.05,0,0.01,0,0,0,0.01,0.01,0.01,0.02,0,0,0.01,0.43,0,0,0.01,0.01,Beverages
6/25/2021,,Lunch,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",0.50 cup,36.98,0,0,112.95,0.03,0.26,0.09,0.04,0.05,1.5,1.08,12.27,0,250,0.37,60.02,0.08,4.13,150,0.09,0.54,20,0.18,52.67,150,2.8,42.48,0.3,1.8,1.29,0,0.51,0.51,1.93,0,0.43,1.09,0.28,0,0.13,0.95,0.06,0.1,0.17,0.29,0.24,0.05,0.19,3.91,0.16,0.05,0.13,0.18,Beverages
6/25/2021,,Lunch,"Vega One, All In One Shake, Chocolate",0.50 scoop,90,,,,0.4,0.45,6.8,2.55,0.5,0.75,,105,,200,20,140,5.1,29.5,90,,3.5,20,,110,235,,110,,7.5,2,,0.5,5.5,3,0,0.5,1.5,0.5,0,,,,,,,,,,10,,,,,Beverages
6/25/2021,,Lunch,"Dole, Garden Salad",1.00 x 1.5 Cups (3 oz),15,,,,,,,,,,,,,1750,6,0,,20,19,,0,,,,144,,15,,3,1,,2,2,0,0,,,0,0,,,,,,,,,,1,,,,,Vegetables and Vegetable Products
6/25/2021,,Lunch,"Italian Dressing, Store Bought",2.00 tbsp,70.61,0,0,18.35,0,0,0,0,0.01,0,4.71,0.38,0.19,11.53,0.61,0.06,0.79,7.88,4.32,0,0.03,0.69,0.01,3.58,7.09,1.62,291.78,0.02,3.42,0.03,0.08,3.17,3.39,6.22,0.25,2.66,2.65,0.75,0.03,0.49,2.13,0,0,0.01,0.01,0.01,0,0.01,0.13,0,0,0.01,0.01,Fats and Oils
6/25/2021,,Lunch,"Aramark Campus, rice, yellow",2.00 x 0.5 Cup,277.9,,,,,,,,,,,,,71.82,0.7,,,,93.28,,3.5,,,,132.92,,240.88,,53.68,0.9,,,52.78,4.44,0,,,0.7,,,,,,,,,,,5.54,,,,,"Meals, Entrees, and Sidedishes"
6/25/2021,,Lunch,White Sea Bass,0.75 fillet - each 4 1/2 oz raw,93.93,0,0,54.65,0.1,0.11,1.44,0.66,0.35,0.23,0,4.55,0,161.35,0,218.92,0.81,0.08,9.85,0.02,0.28,40.15,0.02,187.86,248.46,35.45,65.9,0.39,0,0,0,0,0,1.94,40.15,0.41,0.72,0.5,0.03,0.7,0.01,0.19,0.53,0.82,1.46,1.64,0.53,0.7,17.9,0.78,0.2,0.6,0.92,Finfish and Shellfish Products
6/25/2021,,Snack,"Tortilla Chips, Yellow, Plain, Salted",2.00 oz,281.8,,,1.1,0.07,0.02,0.85,0.23,0.11,,22.11,12.47,679.27,89.59,,,1.68,0.34,58.97,0.06,0.75,47.63,0.2,132.68,116.8,4.76,175.77,0.83,38.2,2.66,34.33,0.69,35.54,12.66,,4.87,5.2,1.57,0.04,0.18,4.99,,,,,,,,3.75,,,,,Snacks
6/25/2021,,Snack,"Almonds, Raw","2.00 tbsp, chopped",94.08,0,0,0.72,0.03,0.18,0.59,0.08,0.02,0,0.16,7.15,0.16,0.32,0,0,4.16,0,43.71,0.17,0.6,43.87,0.35,78.16,119.11,0.67,0.16,0.51,3.5,2.03,0.12,0.71,1.47,8.11,0,5.13,2,0.62,0,0,2,0.03,0.09,0.12,0.24,0.09,0.03,0.18,3.44,0.1,0.03,0.07,0.14,Nut and Seed Products
6/25/2021,,Snack,"Laughing Cow, Mini Babybel, Original",1.00 piece - each 3/4 oz,77.28,0,0,8.77,0,0.07,0.02,0.04,0.01,0.31,2.73,2.52,0,300.09,0,4.62,0.05,0.53,149.94,0.01,0.09,5.67,0,98.28,28.14,3.05,170.1,0.59,0.24,0,0,0.24,0.24,6.31,20.16,1.83,0.14,4.01,0.15,0.05,0,0.03,0.17,0.24,0.47,0.45,0.12,0.26,4.92,0.19,0.07,0.24,0.31,Dairy and Egg Products
6/25/2021,,Snack,"Crystal Light, Prepared from Dry Mix, All Flavors",6.00 fl oz,2.13,0,0,177.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.54,0.02,0,1.81,0,12.08,4.86,0,11.05,0.02,0.85,0,0.04,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverages
6/25/2021,,Snack,"Human, Superbeets, Original",0.50 teaspoon ,7.5,,,,,,,,,,,,,,25,,,,,,,9,0.07,,80,,32.5,,2,,,1.5,2,0,,,,,0,,,,,,,,,,0.5,,,,,Supplements
6/26/2021,,Breakfast,"Coffee, Prepared From Grounds",28.00 fl oz,8.29,0,331.53,823.76,0.12,0.63,1.58,2.11,0.01,0,0,16.58,0,0,0,0,0.08,0.83,16.58,0.02,0.08,24.86,0.19,24.86,406.12,0,16.58,0.17,3.9,3.9,0,0,0,0.17,0,0.12,0.01,0.02,0,0,0,0.02,0.02,0.02,0.04,0.01,0,0.02,0.99,0.01,0,0.02,0.02,Beverages
6/26/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
6/26/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.50 cup,110.94,0,0,338.84,0.1,0.77,0.26,0.12,0.15,4.5,3.23,36.82,0,749.99,1.1,180.06,0.23,12.39,450,0.26,1.62,60,0.53,158.02,450,8.4,127.43,0.9,5.39,3.87,0,1.52,1.52,5.78,0,1.28,3.27,0.84,0,0.39,2.84,0.17,0.29,0.52,0.87,0.71,0.15,0.56,11.74,0.47,0.16,0.4,0.54,Beverages
6/26/2021,,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
6/26/2021,,Breakfast,"Birch Benders, Pancake & Waffle Mix, Keto",0.50 x 2.0 pancakes,80,,,,,,,,,,,,,,,14,,,123.5,,1,,,,124,,175,,5,2.5,,1.5,2.5,5.5,60,,,1,0,,,,,,,,,,4.5,,,,,Baked Products
6/26/2021,,Breakfast,"Blueberries, Fresh","0.50 cup, whole pieces",42.18,0,0,62.31,0.03,0.03,0.31,0.09,0.04,0,23.68,4.44,59.2,39.96,7.18,0,0.43,14.28,4.44,0.04,0.21,4.44,0.25,8.88,56.98,0.07,0.74,0.12,10.72,1.78,0.02,7.37,8.95,0.24,0,0.03,0.11,0.02,0,0.04,0.07,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.55,0.01,0,0.01,0.02,Fruits and Fruit Juices
6/26/2021,,Breakfast,"Strawberries, Fresh","0.50 cup, halves",24.32,0,0,69.12,0.02,0.02,0.29,0.09,0.04,0,5.32,18.24,19.76,9.12,44.69,0,0.21,1.67,12.16,0.04,0.31,9.88,0.29,18.24,116.28,0.3,0.76,0.11,5.84,1.52,0.03,3.72,4.32,0.23,0,0.03,0.12,0.01,0,0.05,0.07,0,0.01,0.01,0.03,0.02,0,0.01,0.51,0.02,0.01,0.02,0.01,Fruits and Fruit Juices
6/26/2021,,Lunch,"Granola, Homemade","1.00 cup, whole pieces",520.34,0.43,0,14.45,0.47,0.2,2.3,0.85,0.71,1.2,67.26,116.37,154.44,757.24,0.97,0,6.87,12.3,51.17,0.54,3.79,145.19,4.15,392.21,412.94,28.26,138.06,3.74,65.93,7.68,24.88,31.95,58.25,25.55,0,5.73,8.52,8.57,0,0.5,7.99,0.31,0.29,0.47,0.86,0.58,0.25,0.57,11.78,0.42,0.17,0.37,0.63,Breakfast Cereals
6/26/2021,,Lunch,"Stonyfield, Organic Greek 0% Fat Yogurt, Vanilla",0.50 cup,93.88,0.28,0,99.86,0.05,0.21,0.11,0.41,0.04,0.57,8.02,5.68,0,21.36,0,0,0.01,0,122.5,0.02,0.06,16.97,0.01,132.7,155.79,3.96,45.1,0.56,11.27,0.02,1.47,10.03,11.25,0.24,2.49,0.06,0.01,0.16,0,0,0,0.15,0.25,0.54,1.01,0.91,0.23,0.42,10.67,0.51,0.19,0.37,0.59,Dairy and Egg Products
6/26/2021,,Lunch,"Strawberries, Fresh","0.30 cup, halves",14.59,0,0,41.47,0.01,0.01,0.18,0.06,0.02,0,3.19,10.94,11.86,5.47,26.81,0,0.13,1,7.3,0.02,0.19,5.93,0.18,10.94,69.77,0.18,0.46,0.06,3.5,0.91,0.02,2.23,2.59,0.14,0,0.02,0.07,0.01,0,0.03,0.04,0,0.01,0.01,0.02,0.01,0,0.01,0.31,0.01,0,0.01,0.01,Fruits and Fruit Juices
6/26/2021,,Lunch,"Blueberries, Fresh","0.30 cup, whole pieces",25.31,0,0,37.39,0.02,0.02,0.19,0.06,0.02,0,14.21,2.66,35.52,23.98,4.31,0,0.26,8.57,2.66,0.03,0.12,2.66,0.15,5.33,34.19,0.04,0.44,0.07,6.43,1.07,0.01,4.42,5.37,0.15,0,0.02,0.06,0.01,0,0.03,0.04,0,0,0.01,0.02,0.01,0.01,0.01,0.33,0.01,0,0,0.01,Fruits and Fruit Juices
6/26/2021,,Lunch,Sourdough Bread,21.50 g,58.48,0,0,7.1,0.15,0.09,1.04,0.1,0.02,0,0,36.55,9.68,0,0,0,0.05,0.15,11.18,0.03,0.84,6.88,0.12,22.58,25.15,6.15,129.43,0.22,11.15,0.47,9.51,0.99,10.68,0.52,0,0.08,0.18,0.11,0,0.01,0.17,0.05,0.05,0.08,0.15,0.06,0.03,0.11,2.31,0.06,0.03,0.04,0.09,Baked Products
6/26/2021,,Lunch,Hass Avocado,0.50 each,113.56,0,0,49.18,0.05,0.1,1.3,0.99,0.2,0,42.84,60.52,184.28,99.96,5.98,0,1.31,14.28,8.84,0.12,0.41,19.72,0.1,36.72,344.76,0.27,5.44,0.46,5.88,4.62,0.07,0.2,1.25,10.48,0,6.66,1.23,1.45,0,0.08,1.15,0.02,0.03,0.06,0.1,0.09,0.03,0.06,1.33,0.05,0.02,0.03,0.07,Fruits and Fruit Juices
6/26/2021,,Dinner,"Crustaceans, shrimp, raw",1.00 x 3.0 oz,72.25,,,66.68,,,,,,,,,,,,,,,54.4,0.33,0.44,29.75,0.03,181.9,224.4,,101.15,1.14,,,,,,0.43,136.85,0.07,0.13,0.09,0,0.06,0.03,,,,,,,,17.09,,,,,Finfish and Shellfish Products
6/26/2021,,Dinner,"Cheddar Cheese, Natural","4.00 tbsp, grated",113.85,0,0,10.38,0.01,0.12,0.02,0.12,0.02,0.31,24.01,7.63,0,350.87,0,6.78,0.2,0.68,200.58,0.01,0.04,7.63,0.01,128.54,21.47,8.05,184.48,1.03,0.95,0,0,0.14,0.95,9.41,27.97,2.34,0.4,5.33,0.32,0.04,0.22,0.03,0.15,0.34,0.55,0.29,0.15,0.3,6.46,0.29,0.15,0.31,0.4,Dairy and Egg Products
6/26/2021,,Dinner,"Beyond Meat, Burger, Plant-Based",1.00 patty,260,,,,,,,,,,,,,,,0,,,100,,4,,,,280,,350,,5,2,,0,3,18,0,,,5,0,,,,,,,,,,20,,,,,"Meals, Entrees, and Sidedishes"
